"","SSP.min.corToCMS1","SSP.min.corToCMS2","SSP.min.corToCMS3","SSP.min.corToCMS4","SSP.median.corToCMS1","SSP.median.corToCMS2","SSP.median.corToCMS3","SSP.median.corToCMS4","SSP.max.corToCMS1","SSP.max.corToCMS2","SSP.max.corToCMS3","SSP.max.corToCMS4","SSP.nearestCMS","SSP.predictedCMS"
"GSM358341.CEL.gz",-0.118663401785024,0.203666992449261,-0.0569670727322481,-0.233806287629484,-0.105587415036503,0.246452090278939,-0.0190344146506817,-0.209051775651069,-0.0400775736439632,0.253726839592194,0.0256532808348482,-0.184215368142435,"CMS2","CMS2"
"GSM358342.CEL.gz",-0.0869569662973518,-0.167977989934551,-0.404460385230075,0.365524566671203,-0.0309857163831772,-0.0826496102467515,-0.382241127004176,0.419597446005443,0.0421815629866431,-0.0464944565139521,-0.357866407734297,0.427504512110613,"CMS4","CMS4"
"GSM358343.CEL.gz",-0.176329906712327,0.181299746220803,-0.233000659118626,-0.0309117074202611,-0.124110860186222,0.205838884065581,-0.197460682994028,-0.00857020058624381,-0.0967430448655182,0.248796063486922,-0.17042945023771,0.0130019198321014,"CMS2","CMS2"
"GSM358344.CEL.gz",-0.360851084649823,0.286087727536296,-0.280066781018167,0.00191484372366308,-0.300678665414659,0.335964261954274,-0.246584010631974,0.0506050896281569,-0.27237912430414,0.363521071909305,-0.232177583065815,0.109514400135577,"CMS2","CMS2"
"GSM358345.CEL.gz",-0.168574544603829,0.190885151754145,-0.28834827787811,0.0107732007245715,-0.137629828550739,0.215844199541528,-0.278756797099829,0.0480163365764577,-0.107785729749043,0.244642143799402,-0.259225749919308,0.0910114936333481,"CMS2","CMS2"
"GSM358346.CEL.gz",-0.263401662202996,0.266797334927507,0.0158968200670806,-0.228691404650542,-0.214420099949036,0.310206892576458,0.0522603768472441,-0.209679228048755,-0.206715722668582,0.32049816055486,0.0756004679389662,-0.162927224313266,"CMS2","CMS2"
"GSM358347.CEL.gz",-0.0573383992979441,0.0258058497701188,-0.219023568697191,0.0427980230777335,0.020591546964731,0.0495257452280523,-0.189372588842387,0.0513275576309509,0.0402185607285829,0.0930171128220757,-0.16082766605296,0.0607878021916642,"CMS4",NA
"GSM358348.CEL.gz",-0.239492831167207,0.314066982148718,0.0519266018601899,-0.35546635205503,-0.20114750718499,0.339193748414493,0.0904357841693934,-0.340064811724259,-0.130395409371275,0.369621497688128,0.152372761300674,-0.304316740864401,"CMS2","CMS2"
"GSM358349.CEL.gz",-0.130779868968452,0.276913205731435,-0.236304708026001,-0.202069601187997,-0.115350364098066,0.336580467103868,-0.225611121118973,-0.188125999110982,-0.0617605060918737,0.371664715273247,-0.171225173130738,-0.139801648068276,"CMS2","CMS2"
"GSM358350.CEL.gz",-0.12298560648629,0.17505298609623,0.180796156681124,-0.357458779761983,-0.116528440978696,0.186592287036165,0.240288210400219,-0.322865764635746,-0.0198030992903015,0.209631062205966,0.276564360605671,-0.282774298166638,"CMS3",NA
